STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130601 00:00,999.99,}, 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130601 01:00,999.99,{, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130701 00:00,999.99,}, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130701 01:00,0.00,g, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130701 14:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130701 16:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130701 18:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130701 22:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130706 20:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130707 22:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130708 17:00,0.20, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130709 18:00,0.40, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130710 15:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130710 18:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130715 21:00,1.40, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130718 21:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130720 01:00,0.20, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130720 02:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130720 04:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130722 13:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130723 16:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130727 01:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130727 12:00,0.20, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130727 13:00,0.60, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130727 18:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130731 19:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130801 00:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130801 01:00,0.00,g, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130806 18:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130807 10:00,0.10, , 
