STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130128 22:00,0.04, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130128 23:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 00:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 01:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 02:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 03:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 04:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 08:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 22:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130129 23:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 00:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 01:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 02:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 03:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 18:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 20:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 21:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 22:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130130 23:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 00:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 01:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 02:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 03:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 04:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 05:00,0.03, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 06:00,0.12, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 07:00,0.15, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 08:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 09:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 11:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130131 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130201 01:00,0.00,g, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130201 09:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 02:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 03:00,0.02, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 04:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 05:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 06:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 07:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 11:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 13:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 14:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 15:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 16:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 17:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 18:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 20:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 21:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 22:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130203 23:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130204 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130204 01:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 09:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 10:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 11:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 12:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 13:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 14:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 19:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 20:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 21:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 22:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130205 23:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130206 00:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130206 01:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130206 02:00,0.01, , 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130206 03:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130206 04:00,0.00,T, 
COOP:190737,BLUE HILL LCD MA US,190.5,42.2123,-71.1137,20130206 05:00,0.00,T, 
